order_id,meal_id,quantity
20,2,4
25,8,4
38,16,1
28,20,1
8,3,2
75,15,2
95,14,3
70,19,1
8,7,2
96,13,1
41,16,4
8,13,2
7,8,4
75,5,4
62,1,4
65,4,3
68,14,4
21,8,3
8,6,1
66,17,1
11,15,2
24,2,2
9,18,3
77,8,1
9,4,2
87,15,2
31,5,2
52,15,1
16,17,2
73,18,1
32,20,4
75,11,4
77,15,4
6,20,3
80,17,1
11,14,2
54,18,3
85,15,3
75,6,4
73,16,1
67,15,2
41,9,3
34,8,2
27,9,4
86,17,1
92,16,2
41,8,2
31,9,3
34,15,2
51,3,1
17,10,1
86,8,2
83,9,3
39,11,3
59,11,4
41,18,1
97,3,4
10,5,3
2,5,4
59,8,3
80,13,4
73,5,4
13,7,1
10,3,1
69,14,4
28,14,3
65,11,3
34,18,1
17,15,1
45,14,2
9,2,1
32,7,3
48,14,1
37,13,2
21,19,4
57,1,4
70,19,3
91,13,2
39,16,4
79,1,4
84,12,1
68,10,4
2,13,3
86,14,4
71,18,3
39,18,3
85,20,1
14,8,2
18,16,3
34,8,4
15,9,4
14,14,3
96,16,4
71,1,1
20,13,4
35,11,1
37,13,3
78,6,3
27,15,3
92,5,1
44,20,4
27,18,1
88,1,4
82,13,4
34,19,1
65,19,2
63,1,3
33,3,4
7,14,4
12,5,1
82,15,2
55,6,3
36,2,2
6,9,3
1,13,4
43,11,4
99,7,1
17,15,1
82,11,2
34,11,2
21,13,3
95,9,1
57,14,4
71,9,1
91,3,2
55,16,1
72,1,4
2,18,1
15,2,2
10,12,4
89,8,3
20,3,3
70,2,4
5,1,4
48,8,4
75,7,2
71,1,4
19,20,2
56,5,4
17,8,2
6,5,2
40,16,1
47,4,3
6,19,4
46,7,3
27,15,3
88,9,1
32,12,3
86,6,3
14,20,4
46,20,2
100,4,4
72,6,4
53,10,3
80,4,3
96,19,4
20,1,4
31,10,3
21,19,2
23,13,2
53,13,4
4,7,2
23,3,4
95,19,1
43,8,3
53,4,4
86,10,4
95,20,4
32,4,2
35,19,4
21,2,1
90,12,2
14,18,3
49,14,1
5,12,4
61,3,1
29,17,4
26,11,1
59,1,2
45,14,4
40,16,2
30,4,1
29,14,4
4,12,3
85,15,3
25,5,4
52,14,1
43,6,3
36,17,4
9,9,3
99,20,4
36,18,1
45,16,1
83,15,2
66,14,3
52,19,2
87,9,1
69,11,4
43,8,1
4,3,1
15,9,4
34,15,2
23,8,3
75,15,1
34,19,1
5,20,3
14,13,1
77,11,3
56,1,3
45,16,3
94,11,4
41,6,2
56,16,2
78,7,4
66,12,2
15,9,2
50,11,2
74,9,1
25,20,4
33,9,2
6,18,4
91,1,2
56,17,2
1,7,4
67,3,3
69,8,4
88,14,3
93,16,1
95,18,4
95,8,3
86,16,2
26,16,1
47,15,4
56,1,3
9,3,3
86,10,4
43,8,3
80,13,4
41,8,3
85,10,2
16,19,4
93,12,4
39,16,1
65,18,2
40,17,4
86,12,3
53,14,3
42,18,3
52,11,1
90,12,4
38,15,3
71,9,1
17,10,1
25,9,4
54,8,3
86,4,2
49,7,3
87,11,2
96,4,2
23,18,3
79,6,2
73,7,1
39,7,1
52,16,3
71,9,4
1,19,1
39,17,3
37,20,2
27,10,1
56,4,3
75,7,3
78,10,4
84,8,2
42,12,2
60,6,2
57,10,3
57,1,3
87,18,2
28,5,3
66,9,4
61,2,3
95,2,3
22,18,1
85,10,4
11,5,1
37,16,2
66,4,2
85,1,4
82,19,3
80,10,1
43,16,4
12,16,1
97,15,3
31,11,1
87,6,4
40,2,3
29,9,3
26,16,4
19,4,3
4,3,1
