order_id,customer_id,restaurant_id,order_date
1,42,2,2025-05-15 11:36:53
2,32,4,2025-05-07 11:01:21
3,26,5,2025-05-13 08:01:10
4,42,2,2025-05-27 18:48:20
5,30,3,2025-06-30 16:44:13
6,10,5,2025-07-01 13:08:51
7,17,5,2025-06-26 21:58:13
8,9,4,2025-06-23 07:44:06
9,16,2,2025-07-09 05:24:29
10,48,5,2025-06-01 15:42:32
11,36,2,2025-06-07 01:32:36
12,35,3,2025-06-28 01:59:45
13,17,4,2025-06-21 14:15:32
14,48,3,2025-05-29 17:08:00
15,38,4,2025-06-14 03:12:19
16,28,5,2025-06-19 03:59:28
17,38,4,2025-06-28 20:43:07
18,26,1,2025-06-11 20:24:32
19,24,2,2025-05-10 17:04:28
20,15,2,2025-07-17 02:01:11
21,9,1,2025-07-08 05:14:11
22,33,3,2025-05-12 04:34:33
23,32,1,2025-07-22 21:07:22
24,6,5,2025-07-03 15:33:49
25,49,5,2025-07-03 06:43:03
26,4,2,2025-07-25 07:10:32
27,8,5,2025-07-14 17:47:05
28,10,2,2025-06-23 14:40:34
29,41,1,2025-07-10 01:39:02
30,11,1,2025-07-24 02:42:54
31,44,1,2025-05-21 23:00:43
32,28,2,2025-06-11 20:06:27
33,39,1,2025-06-13 22:10:16
34,5,1,2025-07-26 07:22:26
35,25,3,2025-05-23 06:24:02
36,25,1,2025-06-10 06:13:38
37,39,5,2025-06-02 23:44:23
38,30,2,2025-07-20 09:59:54
39,34,3,2025-06-14 02:42:03
40,17,4,2025-06-08 19:04:50
41,36,2,2025-06-10 11:17:53
42,1,5,2025-07-10 22:05:32
43,44,2,2025-05-10 07:32:16
44,47,5,2025-05-31 10:15:44
45,8,5,2025-06-11 12:24:14
46,44,4,2025-05-31 10:12:16
47,35,2,2025-07-04 15:47:08
48,49,4,2025-05-25 19:54:29
49,18,4,2025-06-06 10:09:23
50,50,2,2025-05-15 21:38:47
51,42,1,2025-07-06 18:22:51
52,22,1,2025-07-29 16:40:58
53,8,4,2025-06-16 03:05:46
54,19,3,2025-05-07 14:24:14
55,28,4,2025-05-09 22:32:27
56,11,4,2025-07-20 20:08:27
57,30,4,2025-05-09 08:53:07
58,1,1,2025-05-10 03:12:49
59,47,1,2025-06-12 00:19:01
60,47,1,2025-05-10 10:59:00
61,17,4,2025-07-12 08:59:23
62,33,3,2025-07-11 19:29:29
63,49,1,2025-06-06 06:18:07
64,12,2,2025-07-18 21:31:53
65,33,2,2025-05-13 17:09:46
66,7,2,2025-06-24 02:24:35
67,41,5,2025-05-06 21:44:15
68,20,4,2025-06-27 00:32:04
69,41,2,2025-06-24 14:33:47
70,33,4,2025-06-24 14:47:20
71,39,2,2025-06-02 02:06:09
72,13,3,2025-07-05 03:12:57
73,10,4,2025-05-12 22:47:29
74,24,2,2025-06-09 23:13:31
75,49,1,2025-06-04 09:54:54
76,11,4,2025-07-24 21:37:28
77,35,5,2025-07-04 16:19:39
78,50,1,2025-07-12 22:15:39
79,34,1,2025-06-11 03:29:10
80,1,5,2025-07-24 08:46:23
81,39,1,2025-07-29 00:02:32
82,21,1,2025-07-10 02:09:54
83,32,2,2025-05-06 01:50:59
84,2,2,2025-05-29 00:11:49
85,8,4,2025-06-28 09:01:43
86,24,4,2025-05-31 10:01:50
87,20,4,2025-06-04 05:22:01
88,16,2,2025-05-11 03:22:43
89,4,4,2025-06-26 04:37:10
90,16,1,2025-06-19 08:19:43
91,37,2,2025-05-21 17:41:21
92,6,4,2025-05-16 02:31:09
93,6,1,2025-07-03 20:16:42
94,47,4,2025-06-16 21:33:16
95,32,3,2025-05-22 20:30:01
96,5,4,2025-07-22 08:15:55
97,49,3,2025-05-11 14:08:20
98,35,4,2025-06-04 01:47:48
99,50,5,2025-07-22 03:50:05
100,9,4,2025-06-24 02:09:52
